Fichero,Tipo,Mínimo,Máximo,Tiempo
"phub_100_10_10.txt",CPH,4402.91,5951.29,.183191611
"phub_100_10_1.txt",CPH,4237.2,6093.48,.181870625
"phub_100_10_2.txt",CPH,3953.55,5334.82,.181543533
"phub_100_10_3.txt",CPH,3795.37,5255.42,.182771528
"phub_100_10_4.txt",CPH,3814.73,5662.61,.188792760
"phub_100_10_5.txt",CPH,4343.93,6152.71,.192188198
"phub_100_10_6.txt",CPH,3416.97,4976.02,.181552321
"phub_100_10_7.txt",CPH,4022.69,5568.02,.194128416
"phub_100_10_8.txt",CPH,4360.41,5937.26,.183587176
"phub_100_10_9.txt",CPH,3846.76,5188.73,.183633340
"phub_50_5_10.txt",CPH,2029.4,3090.63,.070076993
"phub_50_5_1.txt",CPH,1892.78,3039.73,.080736925
"phub_50_5_2.txt",CPH,1876.42,2711.39,.071867609
"phub_50_5_3.txt",CPH,1911.33,2938.4,.083423931
"phub_50_5_4.txt",CPH,1790.41,2681.24,.079425668
"phub_50_5_5.txt",CPH,2023.9,3223.14,.084494237
"phub_50_5_6.txt",CPH,2018.26,3225.4,.069096045
"phub_50_5_7.txt",CPH,1807.61,2579.7,.085096158
"phub_50_5_8.txt",CPH,1983.74,3111.16,.072153250
"phub_50_5_9.txt",CPH,1814.98,2745.96,.073914970
"arc130.mtx.rnd",CWP,325,447,3.802748354
"ash85.mtx.rnd",CWP,94,130,1.197506640
"bcspwr01.mtx.rnd",CWP,16,35,.168912992
"bcspwr02.mtx.rnd",CWP,23,42,.285481958
"bcspwr03.mtx.rnd",CWP,76,114,2.624211727
"bcsstk01.mtx.rnd",CWP,73,107,.309783085
"bcsstk02.mtx.rnd",CWP,1089,1089,.549180285
"bcsstk04.mtx.rnd",CWP,831,954,5.120369230
"bcsstk05.mtx.rnd",CWP,521,636,6.475122913
"bcsstk22.mtx.rnd",CWP,112,153,2.296968988
"can__144.mtx.rnd",CWP,259,320,5.055864933
"can__161.mtx.rnd",CWP,277,344,6.957027540
"curtis54.mtx.rnd",CWP,51,82,.385236265
"dwt__234.mtx.rnd",CWP,68,103,2.564200733
"ejemplo.txt",CWP,3,6,.044404421
"fs_183_1.mtx.rnd",CWP,323,414,9.972965027
"fs_183_3.mtx.rnd",CWP,323,414,9.947918945
"fs_183_4.mtx.rnd",CWP,323,414,9.981345016
"fs_183_6.mtx.rnd",CWP,323,414,10.099830376
"gent113.mtx.rnd",CWP,252,323,2.166559072
"gre__115.mtx.rnd",CWP,118,164,2.527800240
"gre__185.mtx.rnd",CWP,293,367,9.916016763
"ibm32.mtx.rnd",CWP,39,61,.140510686
"impcol_b.mtx.rnd",CWP,118,184,.635817170
"impcol_c.mtx.rnd",CWP,151,212,4.242038338
"lns__131.mtx.rnd",CWP,114,166,3.130694750
"lund_a.mtx.rnd",CWP,529,621,5.994671081
"lund_b.mtx.rnd",CWP,526,620,6.134732795
"mcca.mtx.rnd",CWP,791,909,9.273153136
"nos1.mtx.rnd",CWP,140,190,6.159520146
"nos4.mtx.rnd",CWP,107,151,1.764014692
